,compound,date,negative,positive,source,text,tweets ago
104,0.1139,Wed Sep 26 21:49:27 +0000 2018,0.0,0.071,@CBS,Sixteen houseguests entered and now it's down to the Final 3. Don't miss a second of the 90-minute #BB20Finale toni… https://t.co/KwDHR9Hfqu,5
105,0.6249,Wed Sep 26 19:57:54 +0000 2018,0.0,0.221,@CBS,"The tribe has spoken, and they do a pretty decent @JeffProbst impression just in time for the @survivorcbs Season P… https://t.co/2Ps8VKblay",6
106,0.0,Wed Sep 26 17:25:43 +0000 2018,0.0,0.0,@CBS,"⚡️ “FBI Premieres on CBS”

https://t.co/faL6iHZc5g",7
107,-0.2714,Tue Sep 25 21:10:56 +0000 2018,0.138,0.098,@CBS,"RT @CBSAllAccess: A night of crime dramas?! Oh yes. 🙌 Stream @NCIS_CBS, @FBICBS &amp; @NCISNewOrleans starting at 8/7c on CBS All Access: https…",8
108,-0.2263,Tue Sep 25 20:31:45 +0000 2018,0.091,0.0,@CBS,"Before @FBICBS premieres tonight, @mperegrym stopped by @CBSThisMorning to talk about her role as an FBI agent in t… https://t.co/CPVki4Hv8y",9
109,0.0,Tue Sep 25 19:54:26 +0000 2018,0.0,0.0,@CBS,RT @CBSAllAccess: 🚨 @PatrickBrammall. Tim Meadows. @jessicaalba. @iamgreenfield. @AHWAmySedaris. @ChrisGethard. @JoeManganiello. AND SO MAN…,10
110,0.7901,Tue Sep 25 19:45:33 +0000 2018,0.0,0.291,@CBS,RT @bigbangtheory: Happy #NationalComicBookDay from Sheldon and his many shirts! How are you sporting your favorite superhero today? #BigBa…,11
111,0.0,Tue Sep 25 18:34:26 +0000 2018,0.0,0.0,@CBS,"⚡️ “Magnum P.I. Premieres on CBS”

https://t.co/UtbQlcDG8S",12
112,0.0,Tue Sep 25 18:05:31 +0000 2018,0.0,0.0,@CBS,".@jay_hernandez went on @latelateshow to talk about @MagnumPICBS, but he may have gotten @TiffanyHaddish as a surf… https://t.co/a3acRu10aw",13
113,0.0,Mon Sep 24 18:56:15 +0000 2018,0.0,0.0,@CBS,"RT @60Minutes: 60 Minutes turns 50 today. Tick, tick, tick ... https://t.co/3CVKEs9J7F",14
